Date,Adj Close,Close,High,Low,Open,Volume,代码,名称,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume,Adj Close,Close,High,Low,Open,Volume
,HSI,HSI,HSI,HSI,HSI,HSI,,,SPY,SPY,SPY,SPY,SPY,SPY,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ,IWM,IWM,IWM,IWM,IWM,IWM,VTI,VTI,VTI,VTI,VTI,VTI,GLD,GLD,GLD,GLD,GLD,GLD,USO,USO,USO,USO,USO,USO,TLT,TLT,TLT,TLT,TLT,TLT,AGG,AGG,AGG,AGG,AGG,AGG
2020-09-03,25007.599609375,25007.599609375,25007.599609375,25007.599609375,25007.599609375,0.0,HSI,恒生指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-03,,,,,,,IWM,罗素2000指数ETF,,,,,,,,,,,,,144.50567626953125,153.77999877929688,158.2899932861328,152.9600067138672,158.1199951171875,32117600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-03,,,,,,,QQQ,纳斯达克100指数ETF,,,,,,,279.0880126953125,287.4100036621094,298.6199951171875,284.4100036621094,298.1000061035156,110083300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-03,,,,,,,SPY,标普500指数ETF,321.5989074707031,345.3900146484375,356.3800048828125,342.5899963378906,355.8699951171875,148011100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-03,,,,,,,TLT,20年以上美国国债ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.87591552734375,165.88999938964844,167.24000549316406,165.44000244140625,165.75,16416600.0,,,,,,
2020-09-03,,,,,,,USO,原油ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.639999389648438,29.639999389648438,29.780000686645508,29.040000915527344,29.149999618530273,7999000.0,,,,,,,,,,,,
2020-09-03,,,,,,,VTI,美国全市场ETF,,,,,,,,,,,,,,,,,,,162.6175994873047,174.94000244140625,180.49000549316406,173.50999450683594,180.0,5341400.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-04,,,,,,,AGG,美国综合债券ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.8515625,118.0999984741211,118.5199966430664,118.08000183105469,118.41000366210938,5366800.0
2020-09-04,,,,,,,GLD,黄金ETF,,,,,,,,,,,,,,,,,,,,,,,,,181.63999938964844,181.63999938964844,182.10000610351562,180.0500030517578,180.9499969482422,11567900.0,,,,,,,,,,,,,,,,,,
2020-09-04,24695.400390625,24695.400390625,24695.400390625,24695.400390625,24695.400390625,0.0,HSI,恒生指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-04,,,,,,,IWM,罗素2000指数ETF,,,,,,,,,,,,,143.58477783203125,152.8000030517578,155.88999938964844,149.2899932861328,155.7100067138672,30618800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-04,,,,,,,QQQ,纳斯达克100指数ETF,,,,,,,275.368896484375,283.5799865722656,288.92999267578125,271.79998779296875,285.55999755859375,123959000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-04,,,,,,,SPY,标普500指数ETF,318.9731750488281,342.57000732421875,347.8299865722656,334.8699951171875,346.1300048828125,139156300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-04,,,,,,,TLT,20年以上美国国债ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.1439666748047,162.74000549316406,164.6999969482422,162.4499969482422,164.41000366210938,13780300.0,,,,,,
2020-09-04,,,,,,,USO,原油ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.510000228881836,28.510000228881836,29.450000762939453,28.399999618530273,29.420000076293945,7365900.0,,,,,,,,,,,,
2020-09-04,,,,,,,VTI,美国全市场ETF,,,,,,,,,,,,,,,,,,,161.2325439453125,173.4499969482422,176.13999938964844,169.1999969482422,175.33999633789062,4379900.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-08,,,,,,,AGG,美国综合债券ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.96479034423828,118.2300033569336,118.45999908447266,118.19999694824219,118.33999633789062,8894000.0
2020-09-08,,,,,,,GLD,黄金ETF,,,,,,,,,,,,,,,,,,,,,,,,,181.2899932861328,181.2899932861328,182.27000427246094,179.02000427246094,179.5,13229200.0,,,,,,,,,,,,,,,,,,
2020-09-08,24624.30078125,24624.30078125,24624.30078125,24624.30078125,24624.30078125,0.0,HSI,恒生指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-08,,,,,,,IWM,罗素2000指数ETF,,,,,,,,,,,,,140.82203674316406,149.86000061035156,152.47999572753906,149.0,151.17999267578125,26447800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-08,,,,,,,QQQ,纳斯达克100指数ETF,,,,,,,262.1334533691406,269.95001220703125,278.2200012207031,269.6600036621094,272.2200012207031,99568600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-08,,,,,,,SPY,标普500指数ETF,310.2578125,333.2099914550781,342.6400146484375,332.8800048828125,336.7099914550781,114465300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-08,,,,,,,TLT,20年以上美国国债ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.01126098632812,163.74000549316406,165.25999450683594,163.74000549316406,164.3699951171875,13790400.0,,,,,,
2020-09-08,,,,,,,USO,原油ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.75,26.75,26.959999084472656,26.270000457763672,26.8799991607666,10546400.0,,,,,,,,,,,,
2020-09-08,,,,,,,VTI,美国全市场ETF,,,,,,,,,,,,,,,,,,,156.70558166503906,168.5800018310547,171.0399932861328,168.36000061035156,170.3000030517578,3976000.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-09,,,,,,,AGG,美国综合债券ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9560546875,118.22000122070312,118.38999938964844,118.04000091552734,118.38999938964844,7824800.0
2020-09-09,,,,,,,GLD,黄金ETF,,,,,,,,,,,,,,,,,,,,,,,,,183.0500030517578,183.0500030517578,183.22000122070312,182.19000244140625,182.5,8424100.0,,,,,,,,,,,,,,,,,,
2020-09-09,24468.900390625,24468.900390625,24468.900390625,24468.900390625,24468.900390625,0.0,HSI,恒生指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-09,,,,,,,IWM,罗素2000指数ETF,,,,,,,,,,,,,142.9551544189453,152.1300048828125,152.77999877929688,150.57000732421875,151.42999267578125,20160800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-09,,,,,,,QQQ,纳斯达克100指数ETF,,,,,,,269.8339538574219,277.8800048828125,280.04998779296875,273.0,275.6400146484375,64837900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-09,,,,,,,SPY,标普500指数ETF,316.3846435546875,339.7900085449219,342.4599914550781,336.6099853515625,337.54998779296875,91462300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-09,,,,,,,TLT,20年以上美国国债ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.629638671875,163.3000030517578,164.25,162.75999450683594,163.94000244140625,9558900.0,,,,,,
2020-09-09,,,,,,,USO,原油ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.40999984741211,27.40999984741211,27.690000534057617,26.709999084472656,26.84000015258789,5310500.0,,,,,,,,,,,,
2020-09-09,,,,,,,VTI,美国全市场ETF,,,,,,,,,,,,,,,,,,,159.7731475830078,171.8800048828125,173.13999938964844,170.3300018310547,170.8300018310547,4290400.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,,,,,,,AGG,美国综合债券ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.96479034423828,118.2300033569336,118.29000091552734,118.0199966430664,118.1500015258789,4932600.0
2020-09-10,,,,,,,GLD,黄金ETF,,,,,,,,,,,,,,,,,,,,,,,,,182.4600067138672,182.4600067138672,184.67999267578125,182.27999877929688,184.22999572753906,9143600.0,,,,,,,,,,,,,,,,,,
2020-09-10,24313.5,24313.5,24313.5,24313.5,24313.5,0.0,HSI,恒生指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,,,,,,,IWM,罗素2000指数ETF,,,,,,,,,,,,,141.09458923339844,150.14999389648438,153.8800048828125,150.05999755859375,152.8300018310547,23005500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,,,,,,,QQQ,纳斯达克100指数ETF,,,,,,,264.454345703125,272.3399963378906,282.20001220703125,270.55999755859375,280.94000244140625,69667500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,,,,,,,SPY,标普500指数ETF,310.8910217285156,333.8900146484375,342.5299987792969,332.8500061035156,341.82000732421875,90569500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,,,,,,,TLT,20年以上美国国债ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.3494873046875,164.1300048828125,164.35000610351562,161.9499969482422,162.4600067138672,8847700.0,,,,,,
2020-09-10,,,,,,,USO,原油ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.790000915527344,26.790000915527344,27.469999313354492,26.75,27.229999542236328,4856800.0,,,,,,,,,,,,
2020-09-10,,,,,,,VTI,美国全市场ETF,,,,,,,,,,,,,,,,,,,157.1517791748047,169.05999755859375,173.49000549316406,168.60000610351562,173.05999755859375,3507600.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,,,,,,,AGG,美国综合债券ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.08670043945312,118.37000274658203,118.48999786376953,118.23999786376953,118.41999816894531,8200400.0
2020-09-11,,,,,,,GLD,黄金ETF,,,,,,,,,,,,,,,,,,,,,,,,,182.4499969482422,182.4499969482422,183.5500030517578,182.00999450683594,183.13999938964844,7662300.0,,,,,,,,,,,,,,,,,,
2020-09-11,24503.30078125,24503.30078125,24503.30078125,24503.30078125,24503.30078125,0.0,HSI,恒生指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,,,,,,,IWM,罗素2000指数ETF,,,,,,,,,,,,,140.15487670898438,149.14999389648438,151.0500030517578,147.67999267578125,150.9199981689453,20851000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,,,,,,,QQQ,纳斯达克100指数ETF,,,,,,,262.61907958984375,270.45001220703125,275.2200012207031,266.8999938964844,274.1499938964844,71809000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,,,,,,,SPY,标普500指数ETF,311.04931640625,334.05999755859375,336.9700012207031,331.0,335.82000732421875,84680200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,,,,,,,TLT,20年以上美国国债ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.65296936035156,164.47999572753906,164.57000732421875,164.0800018310547,164.30999755859375,5458200.0,,,,,,
2020-09-11,,,,,,,USO,原油ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.040000915527344,27.040000915527344,27.270000457763672,26.729999542236328,26.920000076293945,3362000.0,,,,,,,,,,,,
2020-09-11,,,,,,,VTI,美国全市场ETF,,,,,,,,,,,,,,,,,,,157.20753479003906,169.1199951171875,170.55999755859375,167.5,170.24000549316406,3407700.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-14,,,,,,,AGG,美国综合债券ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.09539794921875,118.37999725341797,118.48999786376953,118.30999755859375,118.47000122070312,6394200.0
2020-09-14,,,,,,,GLD,黄金ETF,,,,,,,,,,,,,,,,,,,,,,,,,183.88999938964844,183.88999938964844,184.3000030517578,183.38999938964844,183.57000732421875,9709500.0,,,,,,,,,,,,,,,,,,
2020-09-14,24640.30078125,24640.30078125,24640.30078125,24640.30078125,24640.30078125,0.0,HSI,恒生指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-14,,,,,,,IWM,罗素2000指数ETF,,,,,,,,,,,,,143.8478546142578,153.0800018310547,153.42999267578125,150.3699951171875,150.58999633789062,21991300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-14,,,,,,,QQQ,纳斯达克100指数ETF,,,,,,,267.1926574707031,275.1600036621094,277.2200012207031,272.9599914550781,274.3599853515625,38525200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-14,,,,,,,SPY,标普500指数ETF,315.146240234375,338.4599914550781,340.3800048828125,334.2200012207031,337.489990234375,65605700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-14,,,,,,,TLT,20年以上美国国债ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.6443328857422,164.47000122070312,165.0800018310547,164.22999572753906,164.7899932861328,4274900.0,,,,,,
2020-09-14,,,,,,,USO,原油ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.940000534057617,26.940000534057617,27.020000457763672,26.600000381469727,26.739999771118164,3311200.0,,,,,,,,,,,,
2020-09-14,,,,,,,VTI,美国全市场ETF,,,,,,,,,,,,,,,,,,,159.66159057617188,171.75999450683594,172.3699951171875,170.60000610351562,171.0,3080800.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,,,,,,,AGG,美国综合债券ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.10411834716797,118.38999938964844,118.43000030517578,118.29000091552734,118.29000091552734,4163000.0
2020-09-15,,,,,,,GLD,黄金ETF,,,,,,,,,,,,,,,,,,,,,,,,,183.4499969482422,183.4499969482422,184.6699981689453,182.9199981689453,184.4600067138672,7993700.0,,,,,,,,,,,,,,,,,,
2020-09-15,24732.80078125,24732.80078125,24732.80078125,24732.80078125,24732.80078125,0.0,HSI,恒生指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,,,,,,,IWM,罗素2000指数ETF,,,,,,,,,,,,,144.120361328125,153.3699951171875,154.6999969482422,152.86000061035156,154.3800048828125,16175500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,,,,,,,QQQ,纳斯达克100指数ETF,,,,,,,270.97979736328125,279.05999755859375,280.45001220703125,275.1300048828125,279.0299987792969,41849900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,,,,,,,SPY,标普500指数ETF,316.73846435546875,340.1700134277344,342.0199890136719,338.4700012207031,341.1199951171875,52920900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,,,,,,,TLT,20年以上美国国债ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2974090576172,164.07000732421875,164.47000122070312,163.7899932861328,164.1699981689453,6928500.0,,,,,,
2020-09-15,,,,,,,USO,原油ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.520000457763672,27.520000457763672,27.700000762939453,26.959999084472656,27.059999465942383,3914100.0,,,,,,,,,,,,
2020-09-15,,,,,,,VTI,美国全市场ETF,,,,,,,,,,,,,,,,,,,160.57252502441406,172.74000549316406,173.63999938964844,172.11000061035156,173.1999969482422,2129700.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-16,,,,,,,AGG,美国综合债券ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.05188751220703,118.33000183105469,118.52999877929688,118.19999694824219,118.52999877929688,6452500.0
2020-09-16,,,,,,,GLD,黄金ETF,,,,,,,,,,,,,,,,,,,,,,,,,183.97000122070312,183.97000122070312,185.00999450683594,183.3300018310547,184.97999572753906,12702400.0,,,,,,,,,,,,,,,,,,
2020-09-16,24725.599609375,24725.599609375,24725.599609375,24725.599609375,24725.599609375,0.0,HSI,恒生指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-16,,,,,,,IWM,罗素2000指数ETF,,,,,,,,,,,,,145.48294067382812,154.82000732421875,156.85000610351562,153.83999633789062,154.11000061035156,22178400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-16,,,,,,,QQQ,纳斯达克100指数ETF,,,,,,,266.65863037109375,274.6099853515625,280.3599853515625,274.25,279.8800048828125,42321000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
